X	Y	Z	Distance (m)	Slope (deg)
0	0	0	0	18.81262216
0	0	0	10	13.53824909
0	0	0	20	12.24012562
0	0	0	30	18.64102287
0	0	0	40	18.86763028
0	0	0	50	9.968320182
0	0	0	60	12.43264247
0	0	0	70	17.42724942
0	0	0	80	14.82321418
0	0	0	90	15.99684628
0	0	0	100	14.11884977
0	0	0	110	10.60924901
0	0	0	120	16.00459368
0	0	0	130	12.65109651
0	0	0	140	16.4807353
0	0	0	150	14.12439364
0	0	0	160	11.27817985
0	0	0	170	7.175617381
0	0	0	180	12.2767671
0	0	0	190	16.49956714
0	0	0	200	14.07720403
0	0	0	210	10.62066251
0	0	0	220	13.57464706
0	0	0	230	14.55864752
0	0	0	240	8.482423933
0	0	0	250	5.02624155
0	0	0	260	6.668449595
0	0	0	270	12.19409714
0	0	0	280	13.16267135
0	0	0	290	8.652512433
0	0	0	300	5.024626858
0	0	0	310	11.1392666
0	0	0	320	7.352274017
0	0	0	330	11.28267117
0	0	0	340	8.524728695
0	0	0	350	4.867838884
0	0	0	360	4.92994284
0	0	0	370	5.641968411
0	0	0	380	5.664964462
0	0	0	390	5.488671363
0	0	0	400	6.899185286
0	0	0	410	7.267277895
0	0	0	420	11.86464528
0	0	0	430	14.41502694
0	0	0	440	8.218172517
0	0	0	450	9.893341806
0	0	0	460	11.11676177
0	0	0	470	8.914337845
0	0	0	480	17.63320668
0	0	0	490	16.88479291
0	0	0	500	16.27076883
0	0	0	510	13.28588775
0	0	0	520	6.423896876
0	0	0	530	8.649301124
0	0	0	540	8.314556995
0	0	0	550	16.38336071
0	0	0	560	23.23785563
0	0	0	570	17.42554856
0	0	0	580	9.899390425
0	0	0	590	7.909766107
0	0	0	600	11.10538026
0	0	0	610	12.63727826
0	0	0	620	8.476320775
0	0	0	630	7.675848633
0	0	0	640	10.04354238
0	0	0	650	15.08497908
0	0	0	660	8.434052545
0	0	0	670	5.770621448
0	0	0	680	7.053032752
0	0	0	690	3.342532634
0	0	0	700	2.497328694
0	0	0	710	2.934581695
0	0	0	720	1.494981135
0	0	0	730	4.478528719
0	0	0	740	9.198651572
0	0	0	750	5.083741535
0	0	0	760	3.004778517
0	0	0	770	5.87822766
0	0	0	780	5.621874569
0	0	0	790	4.393878023
0	0	0	800	4.217461389
0	0	0	810	4.395285024
0	0	0	820	4.359035406
0	0	0	830	4.454754731
0	0	0	840	4.063522594
0	0	0	850	4.910102194
0	0	0	860	8.451583197
0	0	0	870	4.701661699
0	0	0	880	8.396458353
0	0	0	890	6.755808141
0	0	0	900	5.72331385
0	0	0	910	5.305985713
0	0	0	920	8.236159053
0	0	0	930	6.420515213
0	0	0	940	4.434560254
0	0	0	950	4.837166669
0	0	0	960	4.609253632
0	0	0	970	3.617458749
0	0	0	980	2.297916067
0	0	0	990	11.30993247
0	0	0	1000	11.30993247
0	0	0	1010	8.53076561
0	0	0	1020	8.53076561
0	0	0	1030	8.53076561
0	0	0	1040	8.53076561
0	0	0	1050	5.710593138
0	0	0	1060	5.710593138
0	0	0	1070	5.710593138
0	0	0	1080	2.862405226
0	0	0	1090	2.862405226
0	0	0	1100	5.710593138
0	0	0	1110	5.710593138
0	0	0	1120	5.710593138
0	0	0	1130	5.710593138
0	0	0	1140	5.710593138
0	0	0	1150	5.710593138
0	0	0	1160	2.862405226
0	0	0	1170	2.862405226
0	0	0	1180	5.710593138
0	0	0	1190	5.710593138
0	0	0	1200	5.710593138
0	0	0	1210	5.710593138
0	0	0	1220	5.710593138
0	0	0	1230	5.710593138
0	0	0	1240	2.862405226
0	0	0	1250	2.862405226
0	0	0	1260	5.710593138
0	0	0	1270	5.710593138
0	0	0	1280	5.710593138
0	0	0	1290	5.710593138
0	0	0	1300	2.862405226
0	0	0	1310	2.862405226
0	0	0	1320	5.710593138
0	0	0	1330	5.710593138
0	0	0	1340	5.710593138
0	0	0	1350	5.710593138
0	0	0	1360	5.710593138
0	0	0	1370	5.710593138
0	0	0	1380	5.710593138
0	0	0	1390	5.710593138
0	0	0	1400	5.710593138
0	0	0	1410	5.710593138
0	0	0	1420	5.710593138
0	0	0	1430	5.710593138
0	0	0	1440	5.710593138
0	0	0	1450	5.710593138
0	0	0	1460	5.710593138
0	0	0	1470	5.710593138
0	0	0	1480	5.710593138
0	0	0	1490	5.710593138
0	0	0	1500	5.710593138
0	0	0	1510	5.710593138
0	0	0	1520	5.710593138
0	0	0	1530	5.710593138
0	0	0	1540	5.710593138
0	0	0	1550	5.710593138
0	0	0	1560	5.710593138
0	0	0	1570	5.710593138
0	0	0	1580	5.710593138
0	0	0	1590	5.710593138
0	0	0	1600	5.710593138
0	0	0	1610	5.710593138
